split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
validation,NLoS,distance_visibility_topology,"Distance and local visibility only, topology-routed",1.9061401184510363,0.01919720006320169,1.212805904007321,1.7388435440665015,1.1235884664395341,382752235,3.336239829592164,2.3096929913511306,31131895
validation,NLoS,distance_only_full_routing,Distance only with nine regimes,1.9214512097650456,0.03450829137721101,1.2223752302717124,1.7388435440665015,1.1235884664395341,382752235,3.45103132819949,2.436912753451182,31131895
validation,NLoS,distance_only_topology,"Distance only, topology-routed",1.9257606858040164,0.038817767416181814,1.2217414854864064,1.7388435440665015,1.1235884664395341,382752235,3.482819773129337,2.4284874099535125,31131895
validation,NLoS,cost231_only_full_routing,Calibrated COST231 only with nine regimes,1.9226806799833618,0.03573776159552722,1.2238522982754791,1.7388435440665015,1.1235884664395341,382752235,3.460122899002461,2.4565496886807874,31131895
validation,NLoS,cost231_only_topology,"Calibrated COST231 only, topology-routed",1.9337925454566676,0.046849627068833,1.2343417148083207,1.7388435440665015,1.1235884664395341,382752235,3.5414906618285906,2.5960016248993423,31131895
validation,NLoS,constant_full_routing,Constant prediction in each of nine regimes,2.055890598113792,0.16894767972595748,1.2821200101941064,1.7388435440665015,1.1235884664395341,382752235,4.361004209961605,3.231191940767649,31131895
validation,NLoS,constant_topology,Constant prediction per topology,2.056415257336784,0.16947233894894964,1.2819877477323012,1.7388435440665015,1.1235884664395341,382752235,4.364291634372191,3.229433572575288,31131895
validation,NLoS,constant_global,Single global NLoS constant,2.056752448437157,0.16980953004932253,1.2822638942326468,1.7388435440665015,1.1235884664395341,382752235,4.36640355169269,3.2331048124419284,31131895
validation,LoS,without_radial,Without radial residual,1.888934114755252,0.0019911963674175137,1.2081887010369212,1.7411797483814129,1.1310443639709997,382752235,3.187857205763462,2.156642607539392,31131895
validation,LoS,without_coherent,Without coherent two-ray term,3.525744950714812,1.6388020323269776,2.7328213665887358,3.551814429122868,2.7796859828801455,382752235,3.187857205763462,2.156642607539392,31131895
